station_id;date_from;date_to;altitude;latitude;longitude;name;state;cum_precipitation
216;2004-10-01;2021-03-20;298;51.1143;7.8807;Attendorn-Neulisternohl;Nordrhein-Westfalen;339.7
389;2009-11-01;2021-03-20;436;51.0148;8.4318;Berleburg, Bad-Arfeld;Nordrhein-Westfalen;344.8
390;2004-07-01;2021-03-20;610;50.9837;8.3683;Berleburg, Bad-St�nzel;Nordrhein-Westfalen;392.1
613;2004-11-01;2021-03-20;206;51.5677;9.2324;Borgentreich;Nordrhein-Westfalen;417.8
644;2005-01-01;2021-03-20;150;51.7049;9.1738;Brakel;Nordrhein-Westfalen;405.7
796;2004-11-01;2021-03-20;412;50.7556;8.1257;Burbach-W�rgendorf;Nordrhein-Westfalen;453.7
934;2004-10-01;2021-03-20;88;51.7835;8.5658;Delbr�ck;Nordrhein-Westfalen;367.6
1300;2004-06-01;2021-03-20;351;51.254;8.1565;Eslohe;Nordrhein-Westfalen;425.9
2483;1995-10-12;2021-03-20;839;51.1803;8.4891;Kahler Asten;Nordrhein-Westfalen;508.2
2947;2006-10-01;2021-03-20;286;51.1333;8.0348;Lennestadt-Theten;Nordrhein-Westfalen;313.3
3028;1995-09-01;2021-03-20;157;51.7854;8.8388;Lippspringe, Bad;Nordrhein-Westfalen;394.2
3031;2004-07-01;2021-03-20;92;51.6336;8.3945;Lippstadt-B�kenf�rde;Nordrhein-Westfalen;378.7
3098;1995-09-01;2021-03-20;387;51.2452;7.6425;L�denscheid;Nordrhein-Westfalen;357.7
3215;2007-06-01;2021-03-20;375;51.1683;8.7125;Medebach-Berge;Nordrhein-Westfalen;300.3
3499;2006-07-01;2021-03-20;292;51.2915;7.853;Neuenrade-Blintrop;Nordrhein-Westfalen;399.2
4127;2005-01-01;2021-03-20;347;50.9906;7.6958;Reichshof-Eckenhagen;Nordrhein-Westfalen;403.5
4313;2004-08-01;2021-03-20;370;51.4966;8.4342;R�then;Nordrhein-Westfalen;395.9
4368;2004-10-01;2021-03-20;93;51.7098;8.5796;Salzkotten;Nordrhein-Westfalen;358.4
4400;2004-08-01;2021-03-20;171;51.5439;8.1808;Sassendorf, Bad-Beusingsen;Nordrhein-Westfalen;394.6
4488;2006-08-01;2021-03-20;443;51.2127;8.2672;Schmallenberg-Sellinghausen;Nordrhein-Westfalen;394.3
4692;2008-03-01;2018-12-01;229;50.8534;7.9966;Siegen (Kl�ranlage);Nordrhein-Westfalen;338.9
5347;1995-09-01;2021-03-20;236;51.5039;9.1118;Warburg;Nordrhein-Westfalen;383.9
5360;2007-07-01;2021-03-20;331;51.4319;8.2665;Warstein-Hirschberg;Nordrhein-Westfalen;457.7
5468;2006-07-01;2020-10-01;418;50.9377;7.8475;Wenden-D�rnscheid;Nordrhein-Westfalen;366.2
5480;2003-09-10;2021-03-20;85;51.5763;7.8879;Werl;Nordrhein-Westfalen;295.3
5619;2004-12-01;2021-03-20;360;51.1637;7.4234;Wipperf�rth-Gardeweg;Nordrhein-Westfalen;362.9
5699;2004-11-01;2021-03-20;312;51.5427;8.7784;W�nnenberg-Eilern;Nordrhein-Westfalen;347.5
6264;2004-06-01;2021-03-20;457;51.414;8.65;Brilon-Th�len;Nordrhein-Westfalen;402.8
6276;2004-11-01;2019-11-02;235;51.4895;7.7813;Fr�ndenberg-Hohenheide;Nordrhein-Westfalen;347.2
6313;2004-12-01;2021-03-20;440;51.2488;7.4672;Breckerfeld-Wengeberg;Nordrhein-Westfalen;391.8
7330;2005-10-01;2021-03-20;159;51.4633;7.978;Arnsberg-Neheim;Nordrhein-Westfalen;448.0
13700;2008-05-01;2021-03-20;205;51.3329;7.3411;Gevelsberg-Oberbr�king;Nordrhein-Westfalen;346.9
13713;2007-11-01;2021-03-20;386;51.0899;7.6289;Meinerzhagen-Redlendorf;Nordrhein-Westfalen;418.8
